Label,Model,precision,recall,f1-score,support
colour_negative,bilstm,0.0,0.0,0.0,134.0
colour_neutral,bilstm,0.0,0.0,0.0,105.0
colour_positive,bilstm,0.8919753086419753,0.8562962962962963,0.873771730914588,1350.0
others_neutral,bilstm,0.9486607142857143,0.8854166666666666,0.915948275862069,480.0
packing_negative,bilstm,0.0,0.0,0.0,20.0
packing_neutral,bilstm,0.0,0.0,0.0,2.0
packing_positive,bilstm,0.9026275115919629,0.9733333333333334,0.9366479550922213,600.0
price_negative,bilstm,0.0,0.0,0.0,7.0
price_neutral,bilstm,0.0,0.0,0.0,8.0
price_positive,bilstm,0.9642248722316865,0.8536953242835595,0.9056,663.0
shipping_negative,bilstm,0.8372881355932204,0.7576687116564417,0.7954911433172303,326.0
shipping_neutral,bilstm,0.0,0.0,0.0,74.0
shipping_positive,bilstm,0.9420062695924765,0.9024024024024024,0.9217791411042945,666.0
smell_negative,bilstm,0.0,0.0,0.0,97.0
smell_neutral,bilstm,0.0,0.0,0.0,19.0
smell_positive,bilstm,0.8884120171673819,0.9098901098901099,0.8990228013029316,455.0
stayingpower_negative,bilstm,0.0,0.0,0.0,164.0
stayingpower_neutral,bilstm,0.0,0.0,0.0,79.0
stayingpower_positive,bilstm,0.6484848484848484,0.3194029850746269,0.428,335.0
texture_negative,bilstm,0.0,0.0,0.0,162.0
texture_neutral,bilstm,0.0,0.0,0.0,98.0
texture_positive,bilstm,0.7731239092495636,0.5938337801608579,0.6717210007581501,746.0
micro avg,bilstm,0.8881720430107527,0.6893778452200303,0.7762494660401538,6590.0
macro avg,bilstm,0.3544001630381286,0.3205427095347406,0.33399918401597656,6590.0
weighted avg,bilstm,0.7494588532434494,0.6893778452200303,0.7144799459877255,6590.0
samples avg,bilstm,0.8278305872412336,0.7287336290663287,0.7582309835636831,6590.0
