Label,Model,precision,recall,f1-score,support
colour_negative,logistic_regression_tf_idf,0.3355048859934853,0.7686567164179104,0.4671201814058957,134.0
colour_neutral,logistic_regression_tf_idf,0.21818181818181817,0.6857142857142857,0.3310344827586207,105.0
colour_positive,logistic_regression_tf_idf,0.8882480173035328,0.9125925925925926,0.9002557544757033,1350.0
others_neutral,logistic_regression_tf_idf,0.7365930599369085,0.9729166666666667,0.8384201077199281,480.0
packing_negative,logistic_regression_tf_idf,0.35714285714285715,0.5,0.4166666666666667,20.0
packing_neutral,logistic_regression_tf_idf,0.0,0.0,0.0,2.0
packing_positive,logistic_regression_tf_idf,0.9194847020933977,0.9516666666666667,0.9352989352989353,600.0
price_negative,logistic_regression_tf_idf,0.0,0.0,0.0,7.0
price_neutral,logistic_regression_tf_idf,0.42857142857142855,0.375,0.4,8.0
price_positive,logistic_regression_tf_idf,0.9553158705701078,0.9351432880844646,0.9451219512195121,663.0
shipping_negative,logistic_regression_tf_idf,0.8245125348189415,0.9079754601226994,0.8642335766423358,326.0
shipping_neutral,logistic_regression_tf_idf,0.2346368715083799,0.5675675675675675,0.33201581027667987,74.0
shipping_positive,logistic_regression_tf_idf,0.8927038626609443,0.9369369369369369,0.9142857142857143,666.0
smell_negative,logistic_regression_tf_idf,0.6102941176470589,0.8556701030927835,0.7124463519313304,97.0
smell_neutral,logistic_regression_tf_idf,0.1388888888888889,0.5263157894736842,0.21978021978021978,19.0
smell_positive,logistic_regression_tf_idf,0.8872651356993737,0.9340659340659341,0.9100642398286938,455.0
stayingpower_negative,logistic_regression_tf_idf,0.573076923076923,0.9085365853658537,0.7028301886792453,164.0
stayingpower_neutral,logistic_regression_tf_idf,0.3107344632768362,0.6962025316455697,0.4296875,79.0
stayingpower_positive,logistic_regression_tf_idf,0.6842105263157895,0.8925373134328358,0.7746113989637305,335.0
texture_negative,logistic_regression_tf_idf,0.4930555555555556,0.8765432098765432,0.6311111111111111,162.0
texture_neutral,logistic_regression_tf_idf,0.24528301886792453,0.6632653061224489,0.3581267217630854,98.0
texture_positive,logistic_regression_tf_idf,0.8240291262135923,0.9101876675603218,0.8649681528662421,746.0
micro avg,logistic_regression_tf_idf,0.7301411909146716,0.9024279210925645,0.8071937563624024,6590.0
macro avg,logistic_regression_tf_idf,0.5253515301965338,0.7171588464275348,0.5885490484397112,6590.0
weighted avg,logistic_regression_tf_idf,0.7934480395295108,0.9024279210925645,0.8358666293444108,6590.0
samples avg,logistic_regression_tf_idf,0.7882967256303758,0.9056453316434305,0.8223864234893647,6590.0
