Label,Model,precision,recall,f1-score,support
colour_negative,PhoBERT,0.7083333333333334,0.12686567164179105,0.21518987341772153,134.0
colour_neutral,PhoBERT,0.0,0.0,0.0,105.0
colour_positive,PhoBERT,0.9458858413639734,0.9451851851851852,0.9455353834753613,1350.0
others_neutral,PhoBERT,0.9632034632034632,0.9270833333333334,0.9447983014861996,480.0
packing_negative,PhoBERT,0.0,0.0,0.0,20.0
packing_neutral,PhoBERT,0.0,0.0,0.0,2.0
packing_positive,PhoBERT,0.9392,0.9783333333333334,0.9583673469387755,600.0
price_negative,PhoBERT,0.0,0.0,0.0,7.0
price_neutral,PhoBERT,0.0,0.0,0.0,8.0
price_positive,PhoBERT,0.9529411764705882,0.9773755656108597,0.9650037230081906,663.0
shipping_negative,PhoBERT,0.8815028901734104,0.9355828220858896,0.9077380952380952,326.0
shipping_neutral,PhoBERT,0.0,0.0,0.0,74.0
shipping_positive,PhoBERT,0.9316860465116279,0.9624624624624625,0.946824224519941,666.0
smell_negative,PhoBERT,1.0,0.010309278350515464,0.02040816326530612,97.0
smell_neutral,PhoBERT,0.0,0.0,0.0,19.0
smell_positive,PhoBERT,0.9408033826638478,0.978021978021978,0.959051724137931,455.0
stayingpower_negative,PhoBERT,0.6909090909090909,0.4634146341463415,0.5547445255474452,164.0
stayingpower_neutral,PhoBERT,0.0,0.0,0.0,79.0
stayingpower_positive,PhoBERT,0.8151260504201681,0.8686567164179104,0.8410404624277457,335.0
texture_negative,PhoBERT,0.6818181818181818,0.18518518518518517,0.2912621359223301,162.0
texture_neutral,PhoBERT,0.0,0.0,0.0,98.0
texture_positive,PhoBERT,0.8923654568210263,0.9557640750670241,0.9229773462783172,746.0
micro avg,PhoBERT,0.918932527693857,0.830804248861912,0.8726490277335034,6590.0
macro avg,PhoBERT,0.515626132440396,0.42337455640190047,0.43058824116651645,6590.0
weighted avg,PhoBERT,0.8535651133799541,0.830804248861912,0.8265458534604392,6590.0
samples avg,PhoBERT,0.8926436417406,0.8383502323616393,0.8550028850884364,6590.0
