Label,Model,precision,recall,f1-score,support
colour_negative,XLM_RoBERTa,0.7127659574468085,0.5,0.5877192982456141,134.0
colour_neutral,XLM_RoBERTa,0.0,0.0,0.0,105.0
colour_positive,XLM_RoBERTa,0.9426470588235294,0.9496296296296296,0.9461254612546125,1350.0
others_neutral,XLM_RoBERTa,0.9564270152505446,0.9145833333333333,0.9350372736954207,480.0
packing_negative,XLM_RoBERTa,0.0,0.0,0.0,20.0
packing_neutral,XLM_RoBERTa,0.0,0.0,0.0,2.0
packing_positive,XLM_RoBERTa,0.9217527386541471,0.9816666666666667,0.9507667473769169,600.0
price_negative,XLM_RoBERTa,0.0,0.0,0.0,7.0
price_neutral,XLM_RoBERTa,0.0,0.0,0.0,8.0
price_positive,XLM_RoBERTa,0.9514705882352941,0.975867269984917,0.9635145197319435,663.0
shipping_negative,XLM_RoBERTa,0.8724637681159421,0.9233128834355828,0.8971684053651267,326.0
shipping_neutral,XLM_RoBERTa,0.0,0.0,0.0,74.0
shipping_positive,XLM_RoBERTa,0.9382352941176471,0.9579579579579579,0.9479940564635958,666.0
smell_negative,XLM_RoBERTa,0.8701298701298701,0.6907216494845361,0.7701149425287356,97.0
smell_neutral,XLM_RoBERTa,0.0,0.0,0.0,19.0
smell_positive,XLM_RoBERTa,0.9463519313304721,0.9692307692307692,0.9576547231270358,455.0
stayingpower_negative,XLM_RoBERTa,0.8383233532934131,0.8536585365853658,0.8459214501510574,164.0
stayingpower_neutral,XLM_RoBERTa,0.0,0.0,0.0,79.0
stayingpower_positive,XLM_RoBERTa,0.8225806451612904,0.9134328358208955,0.8656294200848657,335.0
texture_negative,XLM_RoBERTa,0.8598130841121495,0.5679012345679012,0.6840148698884758,162.0
texture_neutral,XLM_RoBERTa,0.8181818181818182,0.09183673469387756,0.1651376146788991,98.0
texture_positive,XLM_RoBERTa,0.886107634543179,0.9490616621983914,0.916504854368932,746.0
micro avg,XLM_RoBERTa,0.9152813299232737,0.8688922610015174,0.891483730344076,6590.0
macro avg,XLM_RoBERTa,0.5607841253361866,0.5108573256177192,0.5196956198618742,6590.0
weighted avg,XLM_RoBERTa,0.8693298600781257,0.8688922610015174,0.8630971631738448,6590.0
samples avg,XLM_RoBERTa,0.9016899028305871,0.8733681875792142,0.8802156775065522,6590.0
